DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=6, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=6, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=6, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=7, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=7, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=8, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=8, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=14, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=14, tm_wday=5, tm_yday=131, tm_isdst=0)'
DEBUG:root:{'recognized':'1','name':'vanderlei-ivo-0'currentTime':'time.struct_time(tm_year=2019, tm_mon=5, tm_mday=11, tm_hour=5, tm_min=58, tm_sec=15, tm_wday=5, tm_yday=131, tm_isdst=0)'
